3.56245112419,-0.290681183338	30.7454187,103.9269457
15.1700334549,-0.351500660181	30.7454174,103.927005
29.2105045319,-2.6113717556	30.7454056,103.927078
41.6463279724,-4.88902425766	30.7453946,103.9271382
55.4378929138,-8.14570331573	30.7453759,103.9272101
73.634979248,-14.9161558151	30.7453342,103.9273034
88.9955444336,-21.2394752502	30.7452986,103.9273778
108.072647095,-31.0868186951	30.7452502,103.9274784
133.017456055,-43.117767334	30.7451911,103.9276096
157.364639282,-56.237827301	30.7451401,103.927738
151.32623291,-78.8252487183	30.7450409,103.9277133
130.563720703,-96.0239944458	30.7449608,103.9276015
104.456916809,-102.707397461	30.7449278,103.9274584
78.865814209,-96.3948364258	30.7449557,103.9273228
53.1273269653,-87.5092086792	30.7449942,103.9271895
27.5002803802,-77.2141342163	30.7450374,103.9270621
2.8225710392,-67.646697998	30.7450879,103.9269329
-21.968542099,-56.5320205688	30.7451382,103.9268024
-47.9477615356,-46.1055145264	30.7451698,103.9266792
-53.1664390564,-25.0095500946	30.7452674,103.9266437
-35.9718704224,-5.34710645676	30.7453647,103.9267243
-10.1541414261,5.57782649994	30.7454157,103.9268471
-6.84755897522,7.05994081497	30.7454229,103.9268588
